,name,price,rating,review
133,GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"₹1,499.00",3.9 out of 5 stars,
134,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,196.00",4.2 out of 5 stars,
135,Zeog 25 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys & Girls Office/School/College/Travel Backpack | Zeog2blk,₹799.00,Previous page,
136,Anti Theft Faux Leather,₹499,3.9 out of 5 stars,51 ratings
137,Justify 55L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"₹1,799",Previous page,
138,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,₹589.00,3.6 out of 5 stars,
139,PALAY® Crossbody Phone Bags For Women 3 Layers Small Multifunctional Mobile Pouch Sling Bags For Girls Latest Travel Cell Phone Purses Pouch Sport Shoulder Bag,₹552.00,4.4 out of 5 stars,
140,Nivia Polyester String Bag,₹139.00,4.1 out of 5 stars,
141,Baggit Women's Sling Bag (Grey),₹837.00,4.3 out of 5 stars,
142,"House of Quirk Hanging Travel Toiletry Bag, Waterproof Dopp Kit for Shaving Makeup Accessories, Men Cosmetic Organizer with Large Capacity, for Gym, Camping - Black",₹399.00,4.0 out of 5 stars,
143,Amazon Brand - Eden & Ivy Women's Sling Bag,₹559.27,4.3 out of 5 stars,
144,Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),₹699.00,4.4 out of 5 stars,
145,Dein Kleider Nylon Sling Cross Body Utility Travel Office Business Messenger one Side Shoulder Bag for Men and Women,₹349.00,4.1 out of 5 stars,
146,"Chris & Kate 42ltr Navy-Red Comfortable Casual, School Backpack",₹549.00,Previous page,
147,Zeog 25 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys & Girls Office/School/College/Travel Backpack | Zeog2blk,₹799,Previous page,
148,HP Lightweight 300 Grey Laptops Backpack with Crafted Cable Pass Through and Padded Shoulder Straps,"₹1,002.00",4.1 out of 5 stars,
149,"HOT DELIVERY BAGS Insulated and Waterproof Door Hanging Bag for Milk Sachets and Bottles Storage, Durable and Light Weight (Sea Green)",₹649.00,4.5 out of 5 stars,
150,"Osaka Pro Series-11 Waterproof DSLR Backpack Camera Bag, Lens Accessories Carry Case for Nikon, Canon, Olympus, Pentax & Others-Made in India",₹880.00,3.9 out of 5 stars,
